method,actual_label,predicted_label,count
Rule_Based,Safe,Safe,59
Rule_Based,Safe,Suspicious,1
Rule_Based,Safe,Malicious,0
Rule_Based,Suspicious,Safe,39
Rule_Based,Suspicious,Suspicious,20
Rule_Based,Suspicious,Malicious,1
Rule_Based,Malicious,Safe,38
Rule_Based,Malicious,Suspicious,6
Rule_Based,Malicious,Malicious,16
Embedding_Based,Safe,Safe,59
Embedding_Based,Safe,Suspicious,0
Embedding_Based,Safe,Malicious,1
Embedding_Based,Suspicious,Safe,0
Embedding_Based,Suspicious,Suspicious,60
Embedding_Based,Suspicious,Malicious,0
Embedding_Based,Malicious,Safe,1
Embedding_Based,Malicious,Suspicious,0
Embedding_Based,Malicious,Malicious,59
Transformer_1_Epoch,Safe,Safe,55
Transformer_1_Epoch,Safe,Suspicious,3
Transformer_1_Epoch,Safe,Malicious,2
Transformer_1_Epoch,Suspicious,Safe,3
Transformer_1_Epoch,Suspicious,Suspicious,56
Transformer_1_Epoch,Suspicious,Malicious,1
Transformer_1_Epoch,Malicious,Safe,1
Transformer_1_Epoch,Malicious,Suspicious,0
Transformer_1_Epoch,Malicious,Malicious,59
Transformer_3_Epochs,Safe,Safe,58
Transformer_3_Epochs,Safe,Suspicious,2
Transformer_3_Epochs,Safe,Malicious,0
Transformer_3_Epochs,Suspicious,Safe,2
Transformer_3_Epochs,Suspicious,Suspicious,58
Transformer_3_Epochs,Suspicious,Malicious,0
Transformer_3_Epochs,Malicious,Safe,2
Transformer_3_Epochs,Malicious,Suspicious,0
Transformer_3_Epochs,Malicious,Malicious,58
