method,label,precision,recall,f1_score,support
Rule_Based,Safe,0.4338235294117647,0.9833333333333333,0.6020408163265306,60.0
Rule_Based,Suspicious,0.7407407407407407,0.3333333333333333,0.45977011494252873,60.0
Rule_Based,Malicious,0.9411764705882353,0.26666666666666666,0.4155844155844156,60.0
Embedding_Based,Safe,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
Embedding_Based,Suspicious,1.0,1.0,1.0,60.0
Embedding_Based,Malicious,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
Transformer_1_Epoch,Safe,0.9322033898305084,0.9166666666666666,0.9243697478991597,60.0
Transformer_1_Epoch,Suspicious,0.9491525423728814,0.9333333333333333,0.9411764705882353,60.0
Transformer_1_Epoch,Malicious,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0
Transformer_3_Epochs,Safe,0.9354838709677419,0.9666666666666667,0.9508196721311475,60.0
Transformer_3_Epochs,Suspicious,0.9666666666666667,0.9666666666666667,0.9666666666666667,60.0
Transformer_3_Epochs,Malicious,1.0,0.9666666666666667,0.9830508474576272,60.0
