method,language_class,accuracy,macro_precision,macro_recall,macro_f1,n
Rule_Based,English,0.5666666666666667,0.7814814814814816,0.5666666666666667,0.5384615384615384,60
Rule_Based,Mandarin,0.48333333333333334,0.5924242424242424,0.48333333333333334,0.43361559139784944,60
Rule_Based,Mandarin-English code-switched,0.5333333333333333,0.7529550827423167,0.5333333333333333,0.5000496095023458,60
Embedding_Based,English,1.0,1.0,1.0,1.0,60
Embedding_Based,Mandarin,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,60
Embedding_Based,Mandarin-English code-switched,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,60
Transformer_1_Epoch,English,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,60
Transformer_1_Epoch,Mandarin,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.967032967032967,60
Transformer_1_Epoch,Mandarin-English code-switched,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,60
Transformer_3_Epochs,English,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,60
Transformer_3_Epochs,Mandarin,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.967032967032967,60
Transformer_3_Epochs,Mandarin-English code-switched,0.95,0.9515873015873016,0.9499999999999998,0.9503960808838858,60
